"Disabled","Disabled"
"Display Type","Display Type"
"Topbar","Topbar"
"Corner","Corner"
"Alert","Alert"
"Enabled","Enabled"
"Selected Domains","Selected Domains"
"Allowed Domains","Allowed Domains"
"Domain","Domain"
"Add Domain","Add Domain"
